name,altName,country,lat,lon,action,islandCrag,islandCragId
Margalef - Zona del pantano,Costa Daurada,Spain,41.297542,0.774364,map,Margalef,516d1ec8bdc0f71fdd023926
Djupfjord,Lofoten,Norway,68.188499,14.2242,map,Lofoten,516e3f5a62bfea195a017782
Hultastenen,Hässleholm,Sweden,56.141186,13.991357,add,,
Brattberget,Sundsvall,Sweden,62.329248,17.42835,map,Brattberget,516e27bf62bfea195a00ff6f
Lost Rocks,Klamath,USA,41.519262,-124.081231,add,,
Arapiles,Tooan,Australia,-36.781242,141.721916,map,Arapiles,516d8d0fbdc0f71fdd054865
Rifle,Silt,USA,39.667914,-107.702327,map,Rifle,516cf536bdc0f71fdd007364
Haukkavuori,Lappeenranta,Finland,61.485226,29.217882,add,,
Jackson Falls,Saint Louis,"MO, USA",37.503053,-88.677521,map,Jackson Falls,516cf537bdc0f71fdd0074e9
Freyr,Namur,Belgium,50.226563,4.892289,map,Freyr,516e12f362bfea195a005f74
Trollbo,Falun,Sweden,60.430375,15.843186,map,Trollbo,516e27c062bfea195a00ffc1
Festung Posen,Poznań,Poland,52.443743,16.935477,add,,
Chief Boulders,Squamish,Canada,49.685595,-123.147383,map,Squamish,516e206362bfea195a00c3d3
Kraft Boulders,Red Rock Canyon,USA,36.160815,-115.417986,map,Red Rock,516cf537bdc0f71fdd00759e
"Piilolampi, Hyvinkää",Hyvinkää,Finland,60.63489,24.737595,map,Piilolampi,516e621c62bfea195a022051
Shipley Glen,Yorkshire,United Kingdom,53.852046,-1.805627,add,,
Palkkivehmas,Hämeenlinna,Finland,61.033521,24.109484,map,Hämeenlinna,516e621c62bfea195a022053
Klintklinten,Visby,Sweden,57.402734,18.824258,add,,
Småbakkan,Kvaløya,Norway,69.758003,18.607,map,Småbakkan,516e3f5762bfea195a017758
Sandspollen,Oslo,Norway,59.666646,10.588653,add,,
Silvretta,Lech,Austria,46.964439,10.132141,map,Silvretta,516ec82d91e673000000004c
Chaos Canyon,Rocky Mountain National Park,USA,40.304927,-105.660367,add,,
Cuvier Rempart,Fontainebleau,France,48.445202,2.64652,map,Fontainebleau,516d4ae7bdc0f71fdd03b6da
Utby,Göteborg,Sweden,57.745076,12.058332,map,Utby,516e27c062bfea195a00ffb5
Näätäkivi,Jyväskylä,Finland,62.116402,25.7808,map,Jyväskylä,516e621c62bfea195a022047
Huhtanen,Imatra,Finland,61.23977,28.915715,add,,
Tahmela boulder park,Tampere,Finland,61.496738,23.710728,add,,
Galgberget,Bohuslän,Sweden,58.409468,11.428485,map,Bohuslän,516e27c062bfea195a00ffdd
Rämövuori (Golfkenttä),Nokia,Finland,61.447958,23.386195,add,,
Cul de Chien,Fontainebleau,France,48.376122,2.521877,map,Fontainebleau,516d4ae7bdc0f71fdd03b6da
Seglora,Borås,Sweden,57.58389,12.719679,map,Seglora,516e27bf62bfea195a00ff2f
Brensholmen,Kvaløya,Norway,69.6045,18.0214,add,,
Lover's Leap,South lake tahoe,USA,38.799835,-120.136855,map,Lover's Leap,516cf536bdc0f71fdd007453
Beacon Hill,Kowloon,Hong Kong,22.346236,114.169117,map,Beacon Hill,516e80c862bfea195a02bc02
Frösöberget,Östersund,Sweden,63.189567,14.602375,add,,
Solvik,Linköping,Sweden,58.308832,16.113172,map,Solvik,516e27c062bfea195a00ffdf
Eldorado Canyon,Boulder,"CO, USA",39.93192,-105.280695,map,Eldorado Canyon,516cf537bdc0f71fdd0074a2
Cala Barques,Mallorca,Spain,39.500084,3.298613,map,Mallorca,516d1ec8bdc0f71fdd02392b
Indian Creek,Rowleys Trailer Park,USA,38.065933,-109.546223,map,Indian Creek,516cf536bdc0f71fdd00736e
El Escorial,Madrid,Spain,40.593882,-4.174805,map,El Escorial,516d1ec8bdc0f71fdd0238b6
La Pedriza,Madrid,Spain,40.746217,-3.87989,map,La Pedriza,516d1ec8bdc0f71fdd02392d
Buoux,Marseille,France,43.822518,5.377768,map,Buoux,516d4ae8bdc0f71fdd03b704
Kolartorp,Stockholm,Sweden,59.169551,18.122978,map,Kolartorp,516e27c062bfea195a00ffba
Vuohimäki,Helsinki,Finland,60.102506,24.368469,add,,
Sarvivuori,Jyväskylä,Finland,62.183971,25.739973,map,Jyväskylä,516e621c62bfea195a022047
Lumijoki,Oulu,Finland,64.809292,25.202374,add,,
Västanbäck,Östersund,Sweden,63.19935,15.462613,map,Västanbäck,516e27c062bfea195a00ffee
